"DT_GERACAO";"HH_GERACAO";"ANO_ELEICAO";"CD_TIPO_ELEICAO";"NM_TIPO_ELEICAO";"NR_TURNO";"CD_ELEICAO";"DS_ELEICAO";"DT_ELEICAO";"TP_ABRANGENCIA";"SG_UF";"SG_UE";"NM_UE";"CD_MUNICIPIO";"NM_MUNICIPIO";"NR_ZONA";"CD_CARGO";"DS_CARGO";"SQ_CANDIDATO";"NR_CANDIDATO";"NM_CANDIDATO";"NM_URNA_CANDIDATO";"NM_SOCIAL_CANDIDATO";"CD_SITUACAO_CANDIDATURA";"DS_SITUACAO_CANDIDATURA";"CD_DETALHE_SITUACAO_CAND";"DS_DETALHE_SITUACAO_CAND";"TP_AGREMIACAO";"NR_PARTIDO";"SG_PARTIDO";"NM_PARTIDO";"SQ_COLIGACAO";"NM_COLIGACAO";"DS_COMPOSICAO_COLIGACAO";"CD_SIT_TOT_TURNO";"DS_SIT_TOT_TURNO";"ST_VOTO_EM_TRANSITO";"QT_VOTOS_NOMINAIS"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03026";"IRACEMA";"6";"7";"Deputado Estadual";"230000000291";"77777";"HERBSON JAIRO RIBEIRO BANTIM";"BERINHO BANTIM";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"77";"SD";"Solidariedade";"230000000016";"AVANÇA RORAIMA";"PMDB / SD / PSD / PSB / PSDB / PROS / PTN";"5";"SUPLENTE";"N";"37"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03123";"PACARAIMA";"7";"7";"Deputado Estadual";"230000000429";"65000";"RAIMUNDO NONATO LIMA FERREIRA";"NONATO LIMA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"65";"PC do B";"Partido Comunista do Brasil";"230000000020";"A FORÇA DO TRABALHADOR";"PT / PC do B";"5";"SUPLENTE";"N";"2"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03158";"SÃO LUIZ";"4";"7";"Deputado Estadual";"230000000517";"12800";"MARCIA BACELAR FERREIRA";"MARCIA BACELAR";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"230000000022";"RORAIMA LIVRE";"PV / PDT / PTC";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03018";"BOA VISTA";"1";"7";"Deputado Estadual";"230000000116";"23111";"GLAIZE RODRIGUES SERRA";"GLAIZE UNEGRO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"23";"PPS";"Partido Popular Socialista";"230000000008";"SOU MAIS RORAIMA";"PHS / PRTB / PPS";"5";"SUPLENTE";"N";"20"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03107";"UIRAMUTÃ";"7";"7";"Deputado Estadual";"230000000515";"12000";"JOSE ORLANDO MOTA E SILVA";"ORLANDO MOTA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"12";"PDT";"Partido Democrático Trabalhista";"230000000022";"RORAIMA LIVRE";"PV / PDT / PTC";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03077";"BONFIM";"3";"7";"Deputado Estadual";"230000000329";"40242";"MANOEL MORAIS SILVA";"MANOELZINHO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"40";"PSB";"Partido Socialista Brasileiro";"230000000016";"AVANÇA RORAIMA";"PMDB / SD / PSD / PSB / PSDB / PROS / PTN";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03042";"AMAJARI";"7";"7";"Deputado Estadual";"230000000144";"28190";"HERMES FEIJÓ MENDES";"SARGENTO FEIJÓ";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"28";"PRTB";"Partido Renovador Trabalhista Brasileiro";"230000000008";"SOU MAIS RORAIMA";"PHS / PRTB / PPS";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03000";"CAROEBE";"4";"7";"Deputado Estadual";"230000000726";"27999";"LUCILEIA COSTA SANTIAGO";"LÉIA SOM";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"27";"PSDC";"Partido Social Democrata Cristão";"230000000019";"TRABALHO E PROGRESSO";"PSL / PSDC / PPL / PT do B";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03050";"ALTO ALEGRE";"3";"7";"Deputado Estadual";"230000000116";"23111";"GLAIZE RODRIGUES SERRA";"GLAIZE UNEGRO";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"23";"PPS";"Partido Popular Socialista";"230000000008";"SOU MAIS RORAIMA";"PHS / PRTB / PPS";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03034";"CARACARAÍ";"2";"6";"Deputado Federal";"230000000281";"1900";"FRANCIVANA SOUZA DE ALBUQUERQUE";"FRANCI SOUZA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"19";"PTN";"Partido Trabalhista Nacional";"230000000015";"RORAIMA SEMPRE";"PSDB / PR / PRB / PSD / SD / PROS / PRP / PMDB / PSB / PTN";"5";"SUPLENTE";"N";"0"
"03/02/2020";"16:02:38";"2014";"2";"Eleição Ordinária";"1";"143";"ELEIÇÕES GERAIS 2014";"05/10/2014";"F";"RR";"RR";"RORAIMA";"03115";"NORMANDIA";"3";"7";"Deputado Estadual";"230000000306";"90321";"ANTONIA MARIA ALVES DE MORAIS";"ANTONIA MARIA";"#NULO#";"12";"APTO";"2";"DEFERIDO";"Coligação";"90";"PROS";"Partido Republicano da Ordem Social";"230000000016";"AVANÇA RORAIMA";"PMDB / SD / PSD / PSB / PSDB / PROS / PTN";"5";"SUPLENTE";"N";"0"
